resultados/Constraint__2446.nsp,2.gen_1;3;336;312;0;0,0.077945
resultados/Constraint__1204.nsp,2.gen_1;3;242;242;0;0,0.078208
resultados/Constraint__3497.nsp,2.gen_1;3;315;243;0;0,0.063162
resultados/Constraint__6539.nsp,2.gen_1;3;294;236;0;0,0.065937
resultados/Constraint__1210.nsp,2.gen_1;3;278;278;0;0,0.085797
resultados/Constraint__5256.nsp,2.gen_1;3;306;295;0;0,0.062899
resultados/Constraint__1769.nsp,2.gen_1;3;300;300;0;0,0.114870
resultados/Constraint__4234.nsp,2.gen_1;3;300;300;0;0,0.109216
resultados/Constraint__4587.nsp,2.gen_1;3;296;296;0;0,0.099094
resultados/Constraint__4536.nsp,2.gen_1;3;332;243;0;0,0.065519
resultados/Constraint__6096.nsp,2.gen_1;3;296;296;0;0,0.078874
resultados/Constraint__6768.nsp,2.gen_1;3;272;240;0;0,0.062229
resultados/Constraint__3247.nsp,2.gen_1;3;296;248;0;0,0.060756
resultados/Constraint__4316.nsp,2.gen_1;3;299;251;0;0,0.058250
resultados/Constraint__6322.nsp,2.gen_1;3;312;312;0;0,0.076533
resultados/Constraint__5901.nsp,2.gen_1;3;307;307;0;0,0.154098
resultados/Constraint__755.nsp,2.gen_1;3;294;257;0;0,0.067247
resultados/Constraint__4028.nsp,2.gen_1;3;345;345;0;0,0.076856
resultados/Constraint__3099.nsp,2.gen_1;3;349;332;0;0,0.059882
resultados/Constraint__4203.nsp,2.gen_1;3;308;250;0;0,0.061969
resultados/Constraint__6222.nsp,2.gen_1;3;309;309;0;0,0.078765
resultados/Constraint__4570.nsp,2.gen_1;3;291;291;0;0,0.123037
resultados/Constraint__7033.nsp,2.gen_1;3;328;285;0;0,0.060257
resultados/Constraint__6.nsp,2.gen_1;3;356;343;0;0,0.068910
resultados/Constraint__1601.nsp,2.gen_1;3;288;273;0;0,0.060265
resultados/Constraint__4263.nsp,2.gen_1;3;275;275;0;0,0.075933
resultados/Constraint__5630.nsp,2.gen_1;3;275;248;0;0,0.059445
resultados/Constraint__136.nsp,2.gen_1;3;340;304;0;0,0.060896
resultados/Constraint__5427.nsp,2.gen_1;3;231;219;0;0,0.061338
resultados/Constraint__5616.nsp,2.gen_1;3;376;376;0;0,0.077498
resultados/Constraint__2987.nsp,2.gen_1;3;263;247;0;0,0.059341
resultados/Constraint__4881.nsp,2.gen_1;3;323;323;0;0,0.084304
resultados/Constraint__4227.nsp,2.gen_1;3;296;246;0;0,0.059206
resultados/Constraint__6827.nsp,2.gen_1;3;280;254;0;0,0.060560
resultados/Constraint__4120.nsp,2.gen_1;3;309;257;0;0,0.063076
resultados/Constraint__7197.nsp,2.gen_1;3;309;301;0;0,0.060208
resultados/Constraint__1509.nsp,2.gen_1;3;326;302;0;0,0.068061
resultados/Constraint__457.nsp,2.gen_1;3;353;353;0;0,0.075237
resultados/Constraint__3133.nsp,2.gen_1;3;305;301;0;0,0.062713
resultados/Constraint__1351.nsp,2.gen_1;3;295;295;0;0,0.077932
resultados/Constraint__4490.nsp,2.gen_1;3;278;278;0;0,0.144517
resultados/Constraint__6261.nsp,2.gen_1;3;313;301;0;0,0.060114
